# -------------------------------------------------------------------------
#
#  Copyright (c) 1999 Network Appliance, Inc.
#  All rights reserved.
#
# -------------------------------------------------------------------------
#
#  This file maps the short MIB names in the first column to the
#  SNMP object identifier (OID) in the second column.  These OIDs
#  are appropriate for use with the "snmp traps" command for defining
#  your own traps.  See the online documentation for details.
#
#  Refer to the appropriate MIB (rfc1213.mib or netapp.mib) for
#  a complete description of each object.
#
# -------------------------------------------------------------------------

v2cpRemoves                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.11.0
v2cpRenames                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.12.0
v2cpLinks                      snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.13.0
v2cpSymlinks                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.14.0
v2cpMkdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.15.0
v2cpRmdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.16.0
v2cpReaddirs                   snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.17.0
v2cpStatfss                    snmp.1.3.6.1.4.1.789.1.3.1.2.3.4.18.0
v3cNulls                       snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.1.0
v3cGetattrs                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.2.0
v3cSetattrs                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.3.0
v3cLookups                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.4.0
v3cAccesss                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.5.0
v3cReadlinks                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.6.0
v3cReads                       snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.7.0
v3cWrites                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.8.0
v3cCreates                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.9.0
v3cMkdirs                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.10.0
v3cSymlinks                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.11.0
v3cMknods                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.12.0
v3cRemoves                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.13.0
v3cRmdirs                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.14.0
v3cRenames                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.15.0
v3cLinks                       snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.16.0
v3cReaddirs                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.17.0
v3cReaddirPluss                snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.18.0
v3cFsstats                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.19.0
v3cFsinfos                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.20.0
v3cPathconfs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.21.0
v3cCommits                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.1.22.0
v3pNulls                       snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.1.0
v3pGetattrs                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.2.0
v3pSetattrs                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.3.0
v3pLookups                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.4.0
v3pAccesss                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.5.0
v3pReadlinks                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.6.0
v3pReads                       snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.7.0
v3pWrites                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.8.0
v3pCreates                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.9.0
v3pMkdirs                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.10.0
v3pSymlinks                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.11.0
v3pMknods                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.12.0
v3pRemoves                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.13.0
v3pRmdirs                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.14.0
v3pRenames                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.15.0
v3pLinks                       snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.16.0
v3pReaddirs                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.17.0
v3pReaddirPluss                snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.18.0
v3pFsstats                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.19.0
v3pFsinfos                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.20.0
v3pPathconfs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.21.0
v3pCommits                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.2.22.0
v3ccNulls                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.1.0
v3ccGetattrs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.2.0
v3ccSetattrs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.3.0
v3ccLookups                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.4.0
v3ccAccesss                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.5.0
v3ccReadlinks                  snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.6.0
v3ccReads                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.7.0
v3ccWrites                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.8.0
v3ccCreates                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.9.0
v3ccMkdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.10.0
v3ccSymlinks                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.11.0
v3ccMknods                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.12.0
v3ccRemoves                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.13.0
v3ccRmdirs                     snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.14.0
v3ccRenames                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.15.0
v3ccLinks                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.16.0
v3ccReaddirs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.17.0
v3ccReaddirPluss               snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.18.0
v3ccFsstats                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.19.0
v3ccFsinfos                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.20.0
v3ccPathconfs                  snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.21.0
v3ccCommits                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.3.22.0
v3cpNulls                      snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.1.0
v3cpGetattrs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.2.0
v3cpSetattrs                   snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.3.0
v3cpLookups                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.4.0
v3cpAccesss                    snmp.1.3.6.1.4.1.789.1.3.1.2.4.4.5.0
